,Código,Posto,Mês/Ano,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Acumulado
0,198,Abreu e Lima,01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.5,0.4,46.5,5.7,0.0,42.0,0.3,2.4,13.9,0.0,0.0,0.2,0.0,3.2,0.0,0.0,6011.7
1,309,Araçoiaba (Granja Cristo Redentor),01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1.6,0.0,0.0,2.4,1.7,9.3,2.3,16.7,4.3,40.5,0.0,1.5,2.7,2.7,5.4,3.6,0.0,0.0,2.5,0.0,0.0,4499.0
2,301,Cabo,01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.2,0.0,0.2,6.4,12.9,3.6,0.6,0.4,14.8,16.9,0.0,8.1,23.7,11.2,0.0,0.0,0.0,2.0,6.1,1.8,0.0,1285.7
3,490,Cabo (Barragem de Gurjaú),01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,6.3,11.5,2.5,1.0,1.4,1.0,1.5,0.0,2.7,6.5,25.0,0.0,1.5,7.5,11.3,9.5,0.0,0.0,0.0,5.6,0.0,1.0,6762.5
4,491,Cabo (Barragem de Suape),01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,5.6,1.5,0.0,0.0,0.5,4.6,2.0,7.6,2.0,6.9,5.3,3.0,3.6,9.5,23.7,15.1,0.0,0.0,0.0,0.0,0.0,4.7,0.0,6665.2
5,603,Cabo (Pirapama),01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.7,3.1,0.6,0.6,5.5,0.0,2.4,4.0,6.4,13.2,2.0,6.4,9.2,27.2,0.1,1.3,14.6,42.3,0.8,0.0,0.2,0.0,5.1,0.0,0.0,7272.1
6,201,Camaragibe,01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.9,8.9,12.3,0.0,0.0,3.8,2.0,2.5,0.4,12.0,17.7,56.5,6.0,0.0,1.8,14.3,0.0,1.7,0.0,2.0,3.8,0.0,0.2,6096.9
7,28,Goiana (Itapirema - IPA),01/2018,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.2,0.0,7.8,11.8,0.0,0.4,0.1,1.4,5.3,0.2,27.6,35.4,67.2,0.4,0.2,0.1,1.4,0.1,0.2,0.5,0.0,0.2,0.0,0.0,5268.9
8,487,Goiana - PCD,01/2018,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,8.6,12.0,0.0,0.0,0.0,0.4,5.8,0.2,28.4,89.6,13.2,0.6,0.2,0.0,1.6,0.2,0.0,0.4,0.0,0.0,0.2,0.0,3353.1
9,100,Igarassu,01/2018,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,16.1,0.0,0.0,4.6,0.0,8.1,0.0,33.0,2.1,34.2,0.0,1.7,1.2,0.0,14.1,0.0,3.0,0.0,0.0,27.0,0.0,0.3,6341.0
10,269,Igarassu (Bar.Catucá),01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,2.2,0.0,14.6,0.0,26.9,6.4,32.4,0.0,6.2,0.0,31.1,0.0,0.0,0.0,0.0,9.1,0.5,0.0,4419.8
11,294,Igarassu (Usina São José),01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,9.5,0.0,0.0,5.1,0.0,7.5,1.0,10.8,4.6,20.4,0.0,4.0,1.4,13.4,0.3,1.0,1.0,0.0,11.3,0.0,0.0,5070.6
12,387,Ipojuca,01/2018,0.0,0.0,0.0,1.0,0.0,0.6,0.0,4.0,1.8,4.1,4.4,0.4,0.0,9.9,2.9,1.0,3.7,0.0,7.0,19.2,0.4,1.4,17.5,23.0,0.3,14.8,0.0,1.7,2.2,9.1,0.0,6859.8
13,602,Ipojuca (Suape) - PCD,01/2018,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1.0,10.2,0.0,0.0,0.6,7.6,2.8,1.8,0.2,1.0,2.4,0.0,1.0,3.0,25.8,8.6,2.8,7.0,0.2,3.4,1.4,6.6,0.0,4568.4
14,524,Itamaracá,01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.4,1.7,0.0,0.0,0.0,0.0,3.2,1.2,35.2,4.1,32.9,0.4,0.0,4.9,4.1,0.0,0.3,0.0,0.0,29.3,0.2,0.0,5502.4
15,520,Itapissuma,01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,12.0,0.0,0.0,0.0,2.5,9.0,0.5,35.0,10.0,23.5,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,29.3,0.0,0.0,4924.9
16,604,Jaboatão (Cidade da Copa) - PCD,01/2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,18.6,12.4,1.2,0.0,19.0,3.6,1.6,2.0,16.6,38.9,44.2,5.2,0.2,4.2,11.0,0.4,11.0,0.0,0.0,0.0,0.0,0.0,6604.7
17,202,Jaboatão dos Guararapes,01/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
